,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,6,117,0.0001934109866164772,0
1,859,0,1,1,0.0012321460025832966,0
2,298,0,2,27,0.0003374783150750798,0
3,553,0,5,5,0.0002604928461408674,0
4,672,0,1,19,0.00015201006726482807,0
5,971,0,4,1,0.0019077913095156115,2
6,27,0,5,2,0.000534837666273641,1
7,231,0,2,1,0.0077036190464670916,45
8,306,0,7,1,0.0016312576619417686,0
9,706,0,3,1,0.0010230557172187136,0
10,496,0,2,2,0.0008337379964701509,3
11,558,0,3,1,0.001149488990602117,0
12,784,0,2,1,0.006103610239617603,50
13,239,0,4,1,0.001157776843256935,0
14,578,0,4,1,0.003219155307711305,18
15,55,0,4,1,0.0014339789359700465,11
16,906,0,5,17,0.00045021423955028336,0
17,175,0,6,26,0.00021553738411830386,3
18,14,0,2,26,0.00016548373989861147,0
19,77,0,3,1,0.0010134032231033862,0
20,31,0,4,6,0.0010854935024539735,2
21,481,0,2,1,0.0001699749685102118,13
22,310,0,3,1,0.0001744242401459172,11
23,311,0,2,1,0.0014390207706361652,0
24,883,0,2,2,0.0006381700913583987,0
25,788,0,5,1,0.001507755639485347,2
26,45,0,2,3,0.00046093448260852343,0
27,103,0,4,1,0.0012735352681461868,0
28,760,0,2,1,0.0013989673757519585,2
29,1,0,3,7,0.00047604657020538306,0
30,823,0,5,14,0.0010456320158351736,1
31,710,0,2,3,0.0003860990732305644,0
32,614,0,2,26,0.00017967665437177796,3
33,790,0,4,1,0.0011810133711580347,1
34,408,0,2,1,0.0001633781116196809,1
35,736,0,2,1,0.002901246046152829,5
36,957,0,3,1,0.00047378154691090366,1
37,366,0,5,1,0.0021484375589031386,1
38,918,0,4,1,0.0034842058430171402,11
39,267,0,2,1,0.0011048423682716768,1
40,230,0,3,1,0.0011008624792419504,0
41,996,0,3,1,0.0001614835877957832,0
42,635,0,4,11,0.0001641949377212618,0
43,698,0,5,1,0.0014558226333609787,1
44,251,0,5,1,0.0021377408857645394,1
45,783,0,2,1,0.00015894829900207544,0
46,819,0,0,28,0.00014999999999999993,0
47,141,0,2,1,0.0002642280730315583,0
48,316,0,3,2,0.0016251633035251464,3
49,587,0,6,1,0.0019842895454336555,2
50,331,0,3,4,0.0001877899294354573,0
51,295,0,7,76,0.0004962279782098432,3
52,262,0,3,1,0.00023571180122769898,0
53,432,0,3,1,0.00022458287266147718,0
54,862,0,6,22,0.00033410769682017626,10
55,582,0,3,11,0.0001968116743892207,1
56,272,0,3,1,0.00018863125076002993,1
57,270,0,2,2,0.0004774371214206952,20
58,987,0,6,58,0.0003298040773158164,1
59,319,0,2,22,0.00016317418846850787,0
60,569,0,2,1,0.0002606101904643127,1
61,643,0,3,1,0.0002216547168701817,0
62,142,0,3,1,0.002106321017587258,1
63,202,0,6,79,0.00019727773851264816,1
64,413,0,3,1,0.00021908149175498817,2
65,196,0,3,1,0.00021387511959518782,0
66,264,0,3,1,0.0015172290384923934,0
67,531,0,3,9,0.0002271819396996728,2
68,252,0,3,1,0.0004837556810102704,1
69,576,0,4,20,0.00018252673385424554,0
70,738,0,2,19,0.00033142826343268245,0
71,299,0,3,1,0.0024288911851146444,4
72,740,0,2,32,0.00015724793506363932,0
73,247,0,0,2,0.00014999999999999993,0
74,926,0,2,14,0.00015773534561095603,0
75,412,0,2,1,0.0003517236951451249,0
76,389,0,3,1,0.0001641457586999991,1
77,796,0,4,15,0.0003313198031668632,70
78,601,0,4,16,0.00043495010075588744,2
79,654,0,2,12,0.00020865668539388747,1
80,261,0,2,1,0.0010150532384490007,0
81,456,0,2,1,0.0014861138170208603,0
82,386,0,5,1,0.0003792624969545037,1
83,982,0,3,3,0.0004761415312336007,6
84,909,0,3,1,0.0005597297062089077,1
85,693,0,2,70,0.00016790276829916617,0
86,236,0,2,2,0.00017934876748444147,0
87,501,0,4,1,0.00021403340808954537,5
88,497,0,1,17,0.000154977208246364,0
89,874,0,3,57,0.00029717452381699866,0
90,452,0,2,7,0.0005073058318717723,0
91,494,0,3,1,0.00019324526122198164,0
92,923,0,2,1,0.0010280879655574628,0
93,279,0,3,1,0.00020300895492154632,0
94,638,0,5,28,0.0003266989748490807,0
95,485,0,2,4,0.0002670694273930961,1
96,568,0,4,1,0.0022724656644073555,0
97,108,0,2,43,0.00033534471704180934,1
98,367,0,3,19,0.0001954051375635168,0
99,644,0,3,1,0.0011594913228558685,0
100,785,0,3,1,0.00017902837638042167,1
101,873,0,4,34,0.0001864971241673257,9
102,65,0,4,3,0.0009225245246977144,0
103,902,0,3,4,0.00015816667803651976,1
104,317,0,2,1,0.0030952935626093387,14
105,636,0,3,10,0.00044060342016852787,3
106,666,0,3,26,0.00015960111741142747,0
107,789,0,2,14,0.00016785707391185552,0
108,958,0,1,12,0.0003151814349600062,0
109,214,0,1,4,0.00016127083920245683,0
110,97,0,2,1,0.0011692252482837253,0
111,583,0,3,1,0.0011382237062876428,0
112,466,0,4,3,0.0004925594484618519,0
113,523,0,3,3,0.0003721964021115362,9
114,255,0,3,6,0.000164336408061919,0
115,385,0,1,4,0.00036292167207435487,0
116,545,0,6,1,0.0005998413552747065,2
117,382,0,8,1,0.000254840815445069,1
118,489,0,5,3,0.00024891825175654925,1
119,513,0,3,1,0.00030134162869394277,0
120,780,0,2,1,0.0022176846424102224,1
121,904,0,3,1,0.0010404907752075072,0
122,122,0,5,1,0.001201560980552615,1
123,946,0,0,13,0.00014999999999999993,0
124,60,0,3,16,0.0003747560359143652,3
125,844,0,4,3,0.0018169121182316857,5
126,372,0,2,1,0.0014995900163587885,0
127,283,0,2,3,0.00017790676208167148,0
128,939,0,1,5,0.00015160149137973683,0
